6666666.287693.peg.1_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_1235_24_1212_hypothetical_1	hypothetical protein [Pseudodesulfovibrio hydrargyri]	35.99	314	2e-37
6666666.287693.peg.1_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_1235_24_1212_hypothetical_1	hypothetical protein [Pseudodesulfovibrio hydrargyri]	28.85	104	1.8
6666666.287693.peg.10_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_10292_11278_987_Nucleotidyl_1	hypothetical protein A2Z86_04130 [Candidatus Glassbacteria bacterium GWA2_58_10]	49.24	329	2e-101
6666666.287693.peg.12_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_11608_12648_1041_hypothetical_1	hypothetical protein DRI48_08180 [Chloroflexi bacterium]	46.64	223	7e-53
6666666.287693.peg.12_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_11608_12648_1041_hypothetical_1	hypothetical protein DRI48_08180 [Chloroflexi bacterium]	33.08	133	1e-10
6666666.287693.peg.14_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_14335_13130_1206_DNA_1	hypothetical protein A3F83_16175 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	71.65	395	0.0
6666666.287693.peg.16_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_15275_14550_726_SOS-response_1	repressor LexA [Candidatus Glassbacteria bacterium GWA2_58_10]	70.89	213	1e-94
6666666.287693.peg.17_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_15537_16748_1212_pentapeptide_1	hypothetical protein [Pseudodesulfovibrio hydrargyri]	35.99	314	2e-37
6666666.287693.peg.17_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_15537_16748_1212_pentapeptide_1	hypothetical protein [Pseudodesulfovibrio hydrargyri]	28.85	104	1.8
6666666.287693.peg.2_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_1497_2222_726_SOS-response_1	repressor LexA [Candidatus Glassbacteria bacterium GWA2_58_10]	70.89	213	1e-94
6666666.287693.peg.4_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_2437_3642_1206_DNA_1	hypothetical protein A3F83_16175 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	71.65	395	0.0
6666666.287693.peg.5_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_3826_4245_420_hypothetical_1	hypothetical protein CEE38_07075 [Planctomycetes bacterium B3_Pla]	55.22	134	4e-45
6666666.287693.peg.6_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_4421_7612_3192_DNA_1	hypothetical protein AMJ92_11470, partial [candidate division Zixibacteria bacterium SM23_81]	53.24	1018	0.0
6666666.287693.peg.7_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_8418_7618_801_"Inner_1	hypothetical protein A2Z86_04115 [Candidatus Glassbacteria bacterium GWA2_58_10]	65.91	264	5e-117
6666666.287693.peg.8_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_8549_9169_621_hypothetical_1	hypothetical protein A2Z86_04120 [Candidatus Glassbacteria bacterium GWA2_58_10]	40.09	212	3e-33
6666666.287693.peg.9_AG-205-C04_NODE_10_length_16971_cov_40.1887_ID_19_9278_10258_981_cAMP-binding_1	hypothetical protein A2Z86_04125 [Candidatus Glassbacteria bacterium GWA2_58_10]	55.72	332	1e-117
6666666.287693.peg.19_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_1465_353_1113_Aminomethyltransferase_1	hypothetical protein A3F83_05405 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	60.92	371	4e-148
6666666.287693.peg.20_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_2424_1462_963_Ornithine_1	ornithine carbamoyltransferase, partial [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	70.34	263	1e-131
6666666.287693.peg.21_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_4006_2471_1536_ATP-dependent_1	HslU--HslV peptidase ATPase subunit, partial [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	69.46	478	0.0
6666666.287693.peg.22_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_4702_4028_675_ATP-dependent_1	HslU--HslV peptidase proteolytic subunit [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	78.16	174	5e-84
6666666.287693.peg.23_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_5791_4889_903_Tyrosine_1	hypothetical protein A3F83_02400 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	65.33	300	6e-128
6666666.287693.peg.24_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_8207_5859_2349_DNA_1	type I DNA topoisomerase [Desulfurivibrio alkaliphilus]	52.43	761	0.0
6666666.287693.peg.25_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_8865_8362_504_hypothetical_1	hypothetical protein A3F83_02410 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	58.79	165	3e-59
6666666.287693.peg.26_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_9488_8931_558_Shikimate_1	hypothetical protein A2Z86_11745 [Candidatus Glassbacteria bacterium GWA2_58_10]	57.74	168	4e-57
6666666.287693.peg.27_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_10697_9492_1206_Chorismate_1	chorismate synthase [Deltaproteobacteria bacterium GWA2_55_82]	52.85	403	2e-137
6666666.287693.peg.28_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_12307_10862_1446_Choline-sulfatase_1	sulfatase [candidate division KSB1 bacterium]	56.72	469	0.0
6666666.287693.peg.29_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_13711_12362_1350_sulfatase_-_1	arylsulfatase [bacterium]	61.05	439	0.0
6666666.287693.peg.30_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_15154_13730_1425_Choline-sulfatase_1	hypothetical protein A3F83_02815 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	59.10	467	0.0
6666666.287693.peg.31_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_16017_15187_831_Dimethylmenaquinone_1	dimethylmenaquinone methyltransferase [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	77.92	240	4e-125
6666666.287693.peg.32_AG-205-C04_NODE_11_length_16758_cov_41.9722_ID_21_16467_16237_231_hypothetical_1	hypothetical protein C2W62_51135 [Candidatus Entotheonella serta]	32.91	79	0.036
6666666.287693.peg.33_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_1218_781_438_Ribonucleotide_1	transcriptional regulator NrdR [Candidatus Glassbacteria bacterium GWA2_58_10]	86.86	137	2e-76
6666666.287693.peg.34_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_2016_1264_753_TPR_1	tol-pal system protein YbgF [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	55.10	245	1e-87
6666666.287693.peg.35_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_2772_2245_528_18K_1	peptidoglycan-associated lipoprotein [Candidatus Glassbacteria bacterium GWA2_58_10]	62.72	169	8e-57
6666666.287693.peg.36_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_4401_3013_1389_"tolB_1	hypothetical protein A3F83_04585 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	69.11	450	0.0
6666666.287693.peg.37_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_5018_4401_618_"Ferric_1	hypothetical protein A3F83_04590 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	55.67	203	6e-60
6666666.287693.peg.38_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_5549_5118_432_Biopolymer_1	hypothetical protein A3F83_04595 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	72.14	140	3e-68
6666666.287693.peg.39_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_6272_5580_693_MotA/TolQ/ExbB_1	hypothetical protein A2Z86_06815 [Candidatus Glassbacteria bacterium GWA2_58_10]	72.17	230	2e-119
6666666.287693.peg.40_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_7590_6289_1302_UDP-glucose_1	UDP-N-acetyl-D-glucosamine dehydrogenase [Candidatus Glassbacteria bacterium GWA2_58_10]	80.37	433	0.0
6666666.287693.peg.41_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_7812_8009_198_LSU_1	50S ribosomal protein L28 [Desulfuromonas sp.]	67.74	62	1e-21
6666666.287693.peg.42_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_9617_8028_1590_Uncharacterized_1	hypothetical protein A2Z86_06800 [Candidatus Glassbacteria bacterium GWA2_58_10]	52.40	542	1e-180
6666666.287693.peg.44_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_10829_9918_912_hypothetical_1	hypothetical protein A2Z86_06795 [Candidatus Glassbacteria bacterium GWA2_58_10]	64.90	302	2e-134
6666666.287693.peg.45_AG-205-C04_NODE_12_length_15755_cov_42.212_ID_23_11457_10834_624_hypothetical_1	hypothetical protein A2Z86_06790 [Candidatus Glassbacteria bacterium GWA2_58_10]	55.38	195	5e-73
